what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510666736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510668887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510670929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510672999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510680493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510682631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510684467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510691798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510692343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510694271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510697222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510700149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510702289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510704624
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1731510706566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510708195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510709345
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1731510712502
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1731510713242
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1731510713388
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1731510723164
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1731510723312
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1731510724083
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1731510724275
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1731510739078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510772496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510779514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510780615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510798421
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1731510803333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510804744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510806015
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1731510808873
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1731510812774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510814900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510816067
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1731510818364
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1731510820930
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1731510823485
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1731510824100
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1731510826287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510830303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1731510836134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510867634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510869866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510871522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510873460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510875284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510880755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510889176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510893683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510898581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510901208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510905803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510920307
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1731510921728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510923448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510924643
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1731510926287
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1731510926801
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1731510926935
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1731510927974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1731510974949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510977475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510978558
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1731510978812
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1731510979697
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1731510979698
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1731510979698
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1731510979698
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1731510979698
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1731510979698
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1731510979698
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1731510979698
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1731510979698
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1731510979698
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1731510979707
